GEOID,population,white,black,hisp,ai,income,income.se,college,college.se,insurance,insurance.se
55079012200,2168,19.695571955719558,36.43911439114391,6.180811808118081,0,25368,4355.015197568389,17.9,3.708206686930091,89.1,2.3100303951367778
55079013600,2177,16.674322462103813,71.1070280202113,9.32475884244373,0.2756086357372531,16063,1168.9969604863222,11.3,2.492401215805471,91.5,2.917933130699088
55079016000,2969,16.13337824183227,11.519029976423038,61.83900303132368,0,26979,10179.331306990882,6.4,2.613981762917933,88.4,3.6474164133738602
55079017300,4404,18.732970027247955,1.430517711171662,77.61126248864669,0.20435967302452315,44835,5355.623100303951,6.2,1.7021276595744679,70.8,3.5866261398176293
55079000102,3468,24.22145328719723,59.746251441753174,8.362168396770473,0.461361014994233,40455,3852.887537993921,21.8,2.9787234042553195,96.7,1.033434650455927
55079000301,1485,78.18181818181819,12.929292929292929,4.511784511784512,0,70769,4146.504559270516,32.5,3.525835866261398,98.4,0.729483282674772
55079000501,3861,38.40973840973841,47.863247863247864,8.003108003108004,0,53836,1534.954407294833,16.6,3.3434650455927053,94.9,1.519756838905775
55079001400,2483,11.39750302053967,57.75271848570278,2.2956101490132905,0.5235602094240838,39359,3048.0243161094227,13.2,2.370820668693009,94.1,2.188449848024316
55079002900,2295,7.233115468409586,78.43137254901961,9.411764705882353,0.39215686274509803,24366,4313.677811550152,13,3.829787234042553,95.3,2.3100303951367778
55079003900,2890,5.051903114186851,85.57093425605537,6.8166089965397925,0.31141868512110726,32109,3447.41641337386,15.8,3.4042553191489358,93.5,1.762917933130699
55079005400,3677,71.82485722056023,17.05194451998912,3.753059559423443,0.054392167527875984,51304,3107.598784194529,38.8,3.2826747720364744,95,1.2765957446808511
55079006700,1347,4.7512991833704525,86.56273199703044,1.2620638455827766,1.3363028953229399,25139,3965.9574468085107,14.6,6.200607902735562,97.2,1.762917933130699
55079007900,2138,76.19270346117867,9.21421889616464,8.840037418147801,0,47450,6519.756838905775,52.6,3.708206686930091,88.2,2.796352583586626
55079008000,1906,53.67261280167891,31.584470094438615,4.512067156348373,0,36473,4172.036474164133,38.7,3.708206686930091,86.3,2.6747720364741645
55079009500,2113,69.38002839564601,20.208234737340273,7.572172266919073,0,67875,5551.367781155015,56.5,4.133738601823708,93.7,1.519756838905775
55079010600,1361,29.684055841293166,42.39529757531227,20.279206465833944,0,39688,11347.72036474164,24.7,5.349544072948329,86.9,4.25531914893617
55079018700,3461,22.305691996532794,4.2473273620340946,66.6570355388616,0,28247,2514.8936170212764,3.6,1.580547112462006,79.1,4.194528875379939
55079020000,3448,38.71809744779582,11.455916473317865,36.10788863109049,1.8561484918793503,26188,4195.744680851064,16.3,3.3434650455927053,89.6,2.3100303951367778
55079021300,1749,48.65637507146941,16.23785020011435,25.32875929102344,0.34305317324185247,37857,3556.838905775076,17.7,3.768996960486322,83.2,3.4042553191489358
55079090100,4289,80.55490790394032,11.704359990673817,2.1217066915364886,2.774539519701562,65208,4024.9240121580547,44.3,2.9787234042553195,98,0.8510638297872339
55079100400,2746,77.74945375091042,6.882738528769119,13.000728332119447,1.056081573197378,42029,2489.3617021276596,27.4,3.465045592705167,94.7,1.9452887537993921
55079101700,3364,76.04042806183115,3.7752675386444707,14.74435196195006,1.070154577883472,61111,5186.018237082067,24.6,3.221884498480243,97.6,1.21580547112462
55079130200,2880,84.0625,2.7083333333333335,8.333333333333334,0,77557,5885.106382978724,31.4,3.4042553191489358,98.3,0.6686930091185411
55079170500,2501,86.76529388244703,3.9184326269492202,7.397041183526589,0,44421,2367.173252279635,15.4,2.9787234042553195,93.6,2.917933130699088
55079185600,1611,26.877715704531347,62.07324643078833,4.158907510862818,0.8690254500310366,24323,10731.30699088146,34.2,5.47112462006079,95.7,1.7021276595744679
55079186600,2206,30.779691749773345,8.83952855847688,60.0634632819583,0.04533091568449683,36667,8287.537993920972,10.6,3.3434650455927053,79.7,5.592705167173252
55079187300,6800,82.13235294117646,0.47058823529411764,5,0.8235294117647058,102827,3672.3404255319147,42.3,3.5866261398176293,95.8,2.613981762917933
55079020500,2939,22.8989452194624,0.03402517863218782,68.79891119428378,0.8506294658046955,37946,4186.626139817629,11,2.188449848024316,80.4,2.857142857142857
55079120201,3796,84.536354056902,3.0821917808219177,6.4278187565858795,0.5268703898840885,46250,2427.963525835866,21.7,2.43161094224924,96.3,0.9118541033434651
55079000101,4476,23.39142091152815,64.32082216264521,8.623771224307417,0,32645,9479.635258358663,31.5,4.6200607902735555,97.5,1.2765957446808511
55079000202,6439,41.20205000776518,45.59714241341823,5.528808821245535,0.9628824351607392,60604,4808.510638297872,28,4.072948328267477,91.9,2.066869300911854
55079012700,1230,83.17073170731707,3.008130081300813,10.731707317073171,0,61932,6403.039513677812,46.7,6.139817629179331,98.5,0.729483282674772
55079007100,1998,66.46646646646647,13.463463463463464,11.16116116116116,0,48600,4998.176291793313,45.4,4.5592705167173255,94,1.519756838905775
55079007500,2742,85.44857768052516,4.303428154631655,4.3763676148796495,0,96016,17514.893617021276,84.9,3.465045592705167,98.6,0.60790273556231
55079008100,1238,18.25525040387722,55.896607431340875,18.982229402261712,2.7463651050080777,25375,4824.316109422492,9.5,3.829787234042553,88.3,5.227963525835866
55079008700,1189,0.42052144659377627,99.57947855340622,0,0,16442,5804.255319148936,12.2,4.984802431610942,95.3,2.613981762917933
55079000400,2675,29.570093457943926,57.42056074766355,6.654205607476635,0,29059,2024.9240121580547,15.5,5.531914893617021,90.8,3.2826747720364744
55079001200,3122,5.6694426649583605,72.03715566944267,1.345291479820628,0,26517,2775.6838905775076,6.4,1.2765957446808511,91.2,1.6413373860182372
55079001800,3049,15.480485405050837,64.87372909150541,13.97179403082978,0,37179,4277.811550151976,10.2,2.9787234042553195,81.9,4.012158054711246
55079002700,1961,7.751147373788883,91.22896481387048,0,0.3059663437021928,26157,5441.945288753799,10.1,2.796352583586626,91.6,4.376899696048632
55079003200,2711,12.725931390630764,68.12984138694209,3.83622279601623,0.33198081888601993,47159,3259.574468085106,17.5,3.2826747720364744,90,3.3434650455927053
55079003700,2424,19.843234323432345,66.00660066006601,4.249174917491749,0.16501650165016502,42071,8408.510638297872,24.2,3.6474164133738602,90.7,3.100303951367781
